date,country,newcases
2021-07-28,croatia,198
2021-07-29,croatia,188
2021-07-30,croatia,170
2021-07-31,croatia,218
2021-08-01,croatia,143
2021-08-02,croatia,29
2021-08-03,croatia,186
2021-08-04,croatia,271
2021-08-05,croatia,247
2021-08-06,croatia,108
2021-08-07,croatia,233
2021-08-08,croatia,213
2021-08-09,croatia,44
2021-08-10,croatia,246
2021-08-11,croatia,381
2021-05-11,cyprus,390
2021-05-12,cyprus,260
2021-05-13,cyprus,213
2021-05-14,cyprus,171
2021-05-15,cyprus,157
2021-05-16,cyprus,165
2021-05-17,cyprus,167
2021-05-18,cyprus,167
2021-05-19,cyprus,135
2021-05-20,cyprus,77
2021-05-21,cyprus,135
2021-05-22,cyprus,91
2021-05-23,cyprus,75
2021-05-24,cyprus,100
2021-05-25,cyprus,79
2021-05-26,cyprus,69
2021-05-27,cyprus,75
2021-05-28,cyprus,73
2021-05-29,cyprus,56
2021-05-30,cyprus,44
2021-05-31,cyprus,50
2021-06-01,cyprus,58
2021-06-02,cyprus,58
2021-06-03,cyprus,53
2021-06-04,cyprus,83
2021-06-05,cyprus,41
2021-06-06,cyprus,29
2021-06-07,cyprus,80
2021-06-08,cyprus,60
2021-06-09,cyprus,77
2021-06-10,cyprus,59
2021-06-11,cyprus,60
2021-06-12,cyprus,
2021-06-13,cyprus,75
2021-06-14,cyprus,57
2021-06-15,cyprus,64
2021-06-16,cyprus,68
2021-06-17,cyprus,65
2021-06-18,cyprus,76
2021-06-19,cyprus,62
2021-06-20,cyprus,61
2021-06-21,cyprus,67
2021-06-22,cyprus,122
2021-06-23,cyprus,167
2021-06-24,cyprus,175
2021-06-25,cyprus,169
2021-06-26,cyprus,226
2021-06-27,cyprus,216
2021-06-28,cyprus,314
2021-06-29,cyprus,332
2021-06-30,cyprus,429
2021-07-01,cyprus,473
2021-07-02,cyprus,529
2021-07-03,cyprus,583
2021-07-04,cyprus,577
2021-07-05,cyprus,787
2021-07-06,cyprus,827
2021-07-07,cyprus,952
2021-07-08,cyprus,993
2021-07-09,cyprus,882
2021-07-10,cyprus,960
2021-07-11,cyprus,849
2021-07-12,cyprus,832
2021-07-13,cyprus,1081
